"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Brandon Aubrey",DAL,"1","1","1.0","0.0","-"
"2",1,"Ka'imi Fairbairn",HOU,"2","12","2.8","2.2","-"
"3",1,"Cameron Dicker",LAC,"3","8","4.0","1.1","-"
"4",1,"Cam Little",JAC,"2","13","4.3","2.8","-"
"5",2,"Jason Myers",SEA,"3","10","5.2","1.3","-"
"6",2,"Eddy Pineiro",SF,"6","12","7.8","1.7","-"
"7",2,"Tyler Loop",BAL,"6","21","8.1","3.5","-"
"8",2,"Evan McPherson",CIN,"5","15","9.0","2.4","-"
"9",3,"Andy Borregales",NE,"7","18","10.3","3.4","-"
"10",3,"Cairo Santos",CHI,"8","15","10.5","1.8","-"
"11",3,"Chase McLaughlin",TB,"9","20","11.6","2.5","-"
"12",3,"Harrison Butker",KC,"2","18","11.9","4.3","-"
"13",3,"Jake Bates",DET,"10","24","13.3","2.9","-"
"14",3,"Will Reichard",MIN,"4","19","13.3","4.8","-"
"15",3,"Chris Boswell",PIT,"4","25","14.3","3.8","-"
"16",3,"Wil Lutz",DEN,"2","18","15.3","4.2","-"
"17",4,"Harrison Mevis",LAR,"9","26","15.4","3.6","-"
"18",4,"Charlie Smyth",NO,"13","27","17.9","3.2","-"
"19",4,"Chad Ryland",ARI,"8","24","18.9","4.1","-"
"20",4,"Zane Gonzalez",MIA,"5","30","19.9","5.5","-"
"21",4,"Jake Elliott",PHI,"12","25","20.4","3.3","-"
"22",4,"Blake Grupe",IND,"9","27","20.8","4.8","-"
"23",4,"Joey Slye",TEN,"11","30","22.5","4.4","-"
"24",4,"Brandon McManus",FA,"11","28","20.7","3.7","-"
"25",4,"Ryan Fitzgerald",CAR,"10","31","23.8","4.7","-"
"26",4,"Daniel Carlson",LV,"14","26","22.7","3.3","-"
"27",5,"Nick Folk",ATL,"11","32","24.8","5.8","-"
"28",5,"Ben Sauls",NYG,"17","28","24.9","3.8","-"
"29",5,"Tyler Bass",BUF,"17","32","27.9","4.4","-"
"30",5,"Trey Smack",GB,"18","29","22.3","4.2","-"
"31",5,"Jake Moody",WAS,"28","30","28.8","0.7","-"
"32",5,"Jason Sanders",NYG,"25","31","29.0","2.2","-"
"33",5,"Cade York",NYJ,"29","34","31.6","1.7","-"
"34",5,"Andre Szmyt",CLE,"30","33","31.8","1.0","-"
"35",5,"Matt Gay",LV,"29","32","30.5","1.5","-"